ID,Sentence
OOD_TAM_F_0196,"ஊசுட்டேரி, எப்ஐஎன்இஆர், நடவடிக்கைஎடுக்கப்படுகிறது, ​​ராஜ , சீஇடிஏ
"
OOD_TAM_F_0197,"நஹ்யானுடன், கேஐஐஎஃப்பி, ஃப்ளைஆஷ், ரத்தஅழுத்தம், அஞ்‌சு"
OOD_TAM_F_0198,"ஷஃபிலில், ஆா்க்கிமீடியனுக்கு, தீயஆவி, வினைஊக்கிகளாகவும், ஆர்டிஓ"
OOD_TAM_F_0199,"தஜிகிஸ்தான், நாடகத்‌தை, மீஉயர்ந்த, குறிப்பிட்டஅவர், ஏற்ற​"
OOD_TAM_F_0200," மேலஇலந்தகுளம், கோஒ, கொண்டஆள், ஐஜி, சுண்ணஞ்"
OOD_TAM_F_0201,"ஈண்டி, ஓளவையார், பெருமஇத், காளஹஸ்தியில், நல்லஎன்"
OOD_TAM_F_0202,"ஈஜென்வெக்டரைக், சினஉணர்வு, யேஉயர், ஈமக்கிரியைகள், சாலைஐயர்"
OOD_TAM_F_0203,"இடைஒப்பபிடுதல், வெள்வளைசோரஎன், ஈமச்சடங்குகள், நபர்களைஉருவாக்குகிறது, டஉள்ளன"
OOD_TAM_F_0204,"க்யுஆர், ளழித்த, ஓஜாவின், களஅலுவலகங்களுக்கு, வெற்றியாஅளர்"
OOD_TAM_F_0205,"கேஇடி, மனழுத்தம், உலகப்போா், மஅபர், சிடிஇஐசி"
OOD_TAM_F_0206," பிஞ்ஞகரே, செயல்படுத்தப்படஉள்ளது, நீளஅகலம், துமைஏலம், ப்ரொஃபஷனல்கள்"
OOD_TAM_F_0207,"கொண்டாட்டத்‌தை, ஐஓஎஸ்லயே,, ​​முதன்மையான, அஃப்பன்ஸ், ஐஐஎஸ்ஈஆர்"
OOD_TAM_F_0208,"ஃபேஸ்‌புக்கு, ஐஓஸ்ஸில், தழீஇயது, கொஷின், ஏஐலாம்"
OOD_TAM_F_0209,"மீ்ண்டும், மாரஃபத், ப்ரொனௌன்சேஷன், ரீபஃன்ட், கொஷினுக்கே"
OOD_TAM_F_0210,"தலைவற்குஓர், இதழயில், ஒளிமின்னழுத்தத்தில், சவால்களைஎதிர்கொள்ள, உலகஅளவில்"
OOD_TAM_F_0211,"பயோஎனெர்ஜியின், தியோஅமைடுகளைப், இ்நதியாவில், ப்ரோஐஸ்ட்ரோன், சிஃஎப்ஆர்ஐ"
OOD_TAM_F_0212,"ஃபஸ்ட்‌டு, ஊசியின்தலை, மனஉணர்வுடனும், என்இஐஎஸ்டி, ஓவர்சீஸ்‌னு"
OOD_TAM_F_0213,"தமிழ்‌நாட்டோட, மீ்ள்சக்தி, ஷட்டில், ளஃதவள், நிதிஉதவியும்"
OOD_TAM_F_0214,"கவசஉடைகள், எழுந்தஇத், ஊசியிலைக்காடுகளிலிருந்து, ஶ்ரீவஸ்தவா, உரையாற்றினா்"
OOD_TAM_F_0215,"ஔங், தஜானியுடன், குலஇறையே, அசிட்டோஐதரினின், க்ஃனாலெட்ஜ்"
OOD_TAM_F_0216,"வேந்தஇத், நவமேஉயர், ​​பார்வையாளர்கள், சட்டஆய்வு, வுறஅருளு"
OOD_TAM_F_0217,"கட்டப்பட்டுள்ளனஇந்த, பொஊ, பெரியஒவ், ஈஇஇ, டெ்ரெஸ்"
OOD_TAM_F_0218,"நஹதாவை, பழையஇறை, ஜிம்னோஸ்பொ்ம், ஐஎன்எஸ்ஏசிஓஜி, நுண்ணளவிகள்"
OOD_TAM_F_0219,"ளழும்பி, ஐஐஎஸ்இஆர், ஊண்டாய், மயிரைழைகள், அஃறிணைப்பாற்"
OOD_TAM_F_0220,"யஃதிங், யற்றஉள்ளம், லஃதே, இடையஞ்சாவடி, நிலைஆற்றலுக்கு"
